Wavelength,Intensity
-263.169026,0
-271.405696,0
-279.68795,0
-288.015897,0
-296.389647,0
-304.809309,0
-313.274993,0
-321.786809,0
-330.344865,0
-338.949272,0
-347.600139,0
-356.297576,0
-365.041692,0
-373.832596,0
-382.670399,0
-391.55521,0
-400.487137,0
-409.466292,0
-418.492783,0
-427.56672,0
-436.688212,0
-445.857369,0
-455.074301,0
-464.339117,0
-473.651927,0
-483.012839,0
-492.421965,0
-501.879412,0
-511.385291,0
-520.939712,0
-530.542783,0
-540.194615,0
-549.895317,0
-559.644998,0
-569.443768,0
-579.291737,0
-589.189014,0
-599.135708,0
-609.13193,0
